Frame,Away_262_x,Away_262_y,Away_263_x,Away_263_y,Away_264_x,Away_264_y,Away_2749_x,Away_2749_y,Away_2750_x,Away_2750_y,Away_2751_x,Away_2751_y,Away_2752_x,Away_2752_y,Away_2753_x,Away_2753_y,Away_2754_x,Away_2754_y,Away_3271_x,Away_3271_y,Away_11156_x,Away_11156_y,ball_x,ball_y,Period,Time [s]
0,-10.16734693877551,23.71428571428571,-10.744217687074833,1.5714285714285683,-10.600000000000001,-7.2857142857142865,7.138775510204085,27.0,13.051700680272116,19.28571428571429,13.772789115646251,11.285714285714286,4.9755102040816235,20.142857142857135,-1.453442859577076,11.396210021750795,4.110204081632652,-6.285714285714288,-10.16734693877551,15.857142857142852,-41.95110731939436,-0.3408267973770853,12.440841015378522,24.284477301458683,1,0.0
1,-9.98745200349001,23.768739551144506,-10.678158087192926,1.6110049212802633,-10.533804926809328,-7.2340504588668075,7.26753518915237,27.064395637175327,13.084141436229345,19.226961153104707,13.735292301909412,11.219285838575482,5.035158324491713,20.111077889103086,-1.39208209626636,11.117054089644311,4.3033084806091715,-6.390910606135076,-10.229109527585921,15.800841343918478,-41.95254013610206,-0.3087574086955624,11.862067975786655,23.207248568666166,1,0.05
2,-9.81782138797715,23.818212370510004,-10.618001657172961,1.6486047977291411,-10.475781464969756,-7.1862153163669475,7.393608579803142,27.125420508658014,13.115184633516275,19.168654592803026,13.698161297155217,11.152646015963196,5.09090980351991,20.078073329274893,-1.3354783078900647,10.84860532240572,4.484011771469897,-6.495748639379804,-10.286233670156758,15.749753194285137,-41.95848203216222,-0.27880780364320257,11.289600634680632,22.141756180044176,1,0.1
3,-9.658372622623936,23.86271577136809,-10.563719999907798,1.6841904993791135,-10.425817763833432,-7.142191366171215,7.517014226625313,27.18310265827923,13.144841464879978,19.11079102830762,13.661392352543277,11.085796984070619,5.142794176088036,20.043854020393667,-1.2836676010580343,10.590574875786185,4.6524187311328635,-6.600229457184025,-10.33897321240968,15.703615625662305,-41.96884684682291,-0.2509374768003465,10.723438992060427,21.088000135592676,1,0.15000000000000002
4,-9.509023237817242,23.902261352704627,-10.515284718290285,1.7177243248340486,-10.383801972752593,-7.1019611162363,7.637770674087825,27.237470129870132,13.173123123067413,19.053366883116876,13.624981719233132,11.018740909090917,5.190840977118103,20.008430519480523,-1.2366860823802108,10.342673905536765,4.808634136516048,-6.704354131283303,-10.38758200026643,15.662165855469473,-41.98354841933215,-0.22510592274726718,10.16358304792605,20.045980435311666,1,0.2
5,-9.369690763944039,23.93686071350548,-10.472667415213209,1.7491685726978385,-10.34962224107947,-7.065507074518805,7.7558964666595855,27.28855096726191,13.200040800825533,18.996378580729168,13.588925648384357,10.951479957217261,5.235079741532039,19.97181338355656,-1.194569858466369,10.10461356740858,4.952762764537467,-6.808123733413196,-10.432313879648675,15.625141101126097,-42.00250058893799,-0.20127263606437765,9.610032802277491,19.01569707920117,1,0.25
6,-9.240292731391248,23.966525452756546,-10.435839693569422,1.778485541574347,-10.323166718166261,-7.032811748975349,7.8714101488095265,27.33637321428571,13.225605690901372,18.939822544642848,13.553220391156467,10.884016294642855,5.275540004251711,19.934013169642856,-1.1573550359263993,9.876105017152732,5.084909392115107,-6.911539335309235,-10.473422696478117,15.592278580051662,-42.02561719488847,-0.17939711133195574,9.062788255114782,17.997150067261185,1,0.30000000000000004
7,-9.120746670545888,23.991267169443702,-10.404773156251803,1.8056375300675194,-10.304323553365172,-7.003857647562536,7.984330265006562,27.38096491477273,13.249828986041841,18.883695198356335,13.51786219870901,10.816352087560887,5.3122513001990335,19.895040434760553,-1.1250777213702123,9.656859410520314,5.205178796166932,-7.014602008706955,-10.511162296676495,15.563315509665669,-42.052812076431636,-0.15943884313037585,8.521849406437852,16.99033939949168,1,0.35000000000000003
8,-9.010970111794823,24.011097462552797,-10.379439406153132,1.83058683678119,-10.292980896028425,-6.978627278236996,8.094675359719641,27.422354112554125,13.27272187899401,18.82799296536797,13.482847322201602,10.748489502164512,5.345243164296015,19.85490573593074,-1.097774021407607,9.446587903262435,5.313675753610966,-7.11731282534197,-10.545786526165477,15.537989107387553,-42.08399907281552,-0.14135732603994,7.987216256246796,15.995265075892696,1,0.4
9,-8.910880585525057,24.026027931069734,-10.359810046166256,1.853295760319227,-10.289026895508217,-6.957103148955341,8.202463977417672,27.46056885146104,13.2942955625048,18.772712269176143,13.448172012793746,10.680430704646907,5.374545131464519,19.813619630174525,-1.075480042648472,9.245001651130183,5.410505041365232,-7.2196728569498,-10.577549230866786,15.516036590636809,-42.11909202328817,-0.12511205464099845,7.458888804541535,15.011927096464197,1,0.45
10,-8.820395622123474,24.03607017398033,-10.34585667918402,1.873726599285576,-10.292349701156773,-6.939267767674203,8.307714662569595,27.49563717532467,13.314561229321262,18.717849533279225,13.413832521645011,10.612177861201301,5.400186736626477,19.77119267451298,-1.0582318917026292,9.051811809874673,5.49577143634767,-7.321683175266048,-10.606704256702088,15.49719517683292,-42.15800476709763,-0.11066252351390148,6.9368670513221105,14.04032546120621,1,0.5
11,-8.739432751977056,24.04123579027055,-10.337550908099292,1.891841652284081,-10.302837462326277,-6.925103642350212,8.410445959644282,27.52758712797618,13.333530072190317,18.663401181175598,13.379825099914978,10.543733138020837,5.4221975147037895,19.727635425967264,-1.0460656751800346,8.866729535247009,5.569579715476293,-7.42334485202617,-10.633505449593127,15.48120208339535,-42.20065114349193,-0.09796822723893656,6.42115099658851,13.08046017011874,1,0.55
