Frame,Home_13_x,Home_13_y,Home_1057_x,Home_1057_y,Home_1686_x,Home_1686_y,Home_4162_x,Home_4162_y,Home_4163_x,Home_4163_y,Home_4165_x,Home_4165_y,Home_4166_x,Home_4166_y,Home_4167_x,Home_4167_y,Home_4445_x,Home_4445_y,Home_5817_x,Home_5817_y,ball_x,ball_y,Period,Time [s]
0,8.725170068027222,-20.428571428571434,-12.61904761904762,25.42857142857143,12.440841015378522,24.284477301458683,-2.9564625850340196,27.999999999999986,-0.2185353291683376,11.840577052471424,3.9659863945578255,5.1428571428571495,22.42585034013603,18.0,23.291156462585025,0.2857142857142847,8.869387755102043,18.857142857142858,-9.734693877551027,-0.1428571428571351,12.440841015378522,24.284477301458683,1,0.0
1,8.758553463268978,-20.42136248339448,-12.58006536877109,25.367898800885506,12.518135899494634,24.313199512367614,-2.799208467386947,27.957859453781516,-0.13522605635357793,12.11724805774339,4.164883369347736,5.2297697478991685,22.553194823348093,18.096462386006873,23.247663133100325,0.28856374455820405,9.130149973076144,19.017899507156137,-9.711395915646973,-0.157507145093779,11.862067975786655,23.207248568666166,1,0.05
2,8.775288715445553,-20.420890910140134,-12.546000442669591,25.30729413072162,12.586795128015524,24.340271652209267,-2.6513239749232937,27.917208963585427,-0.06334598311981579,12.378331622780443,4.35356944911297,5.306919887955184,22.674043941739235,18.188004587229923,23.208811276316375,0.29110911802644807,9.37592466869365,19.167096468881013,-9.693137326665084,-0.17162050506518,11.289600634680632,22.141756180044176,1,0.1
3,8.775705785282113,-20.426937548010994,-12.516823165301052,25.246692777797335,12.646988767860604,24.365726216779688,-2.5126971268507416,27.878007773109257,-0.002757603782344376,12.624099278529068,4.532156614645869,5.374472268907568,22.78851038165491,18.274711962637767,23.17443707554975,0.2933611385440304,9.606979275304926,19.304949600816634,-9.67988795232247,-0.18532870810460025,10.723438992060427,21.088000135592676,1,0.15000000000000002
4,8.760134633503782,-20.439283236209697,-12.492503861223302,25.186030101830113,12.698886885949324,24.389595701874967,-2.38321594237697,27.84021512605041,0.04667658734361098,12.854822555935801,4.700756846738668,5.432591596638653,22.89670682944061,18.356669871199045,23.144376714116802,0.2953305385359596,9.823581226260274,19.43167476146215,-9.671617634336297,-0.19876323954526812,10.16358304792605,20.045980435311666,1,0.2
5,8.728905220835824,-20.45770881393889,-12.473012854994227,25.125241462537485,12.742659549201065,24.411912603291167,-2.262768440709616,27.803790266106446,0.08509409594274203,13.070772985947178,4.859482126183801,5.481442577030812,22.998745971441615,18.43396367188242,23.118466375333988,0.2970280504272782,10.025997954909958,19.547487809316742,-9.66829621442368,-0.21205558472045538,9.610032802277491,19.01569707920117,1,0.25
6,8.682347508003424,-20.481995120401137,-12.458320471171696,25.064262219636905,12.77847682453531,24.432709416824377,-2.1512426410564185,27.768692436974785,0.112632427699846,13.27222209950969,5.008444433773518,5.521189915966387,23.094740494003503,18.5066787236565,23.09654224251782,0.29846440664301416,10.214496894604366,19.65260460287953,-9.66989353430175,-0.2253372289634049,9.062788255114782,17.997150067261185,1,0.30000000000000004
7,8.62079145573173,-20.51192299479913,-12.448397034313569,25.00302773284593,12.80650877887145,24.452018638270687,-2.0485265626250673,27.734880882352932,0.12942908829956196,13.45944142756989,5.147755750300147,5.551998319327727,23.184803083471536,18.57490038548998,23.07844049898458,0.2996503396082002,10.389345478693734,19.7472410006497,-9.676379435687664,-0.23873965760735472,8.521849406437852,16.99033939949168,1,0.35000000000000003
8,8.544567024745994,-20.547273276335474,-12.443212868977692,24.941473361882014,12.826925479128926,24.46987276342619,-1.954508224623182,27.702314845938385,0.13562158342669461,13.632702501074245,5.277528056555964,5.5740324929971985,23.26904642619126,18.638714016351457,23.06399732805084,0.300596581747821,10.550811140528445,19.83161286112639,-9.68772376029856,-0.2523943559855863,7.987216256246796,15.995265075892696,1,0.4
9,8.454004175771335,-20.587826804212796,-12.44273829972197,24.879534466462683,12.839896992227153,24.486304288086934,-1.8690756462585112,27.670953571428555,0.13134741876597344,13.792276850969337,5.397873333333329,5.587457142857145,23.347583208508045,18.698204975209617,23.053048913033024,0.30131386548695277,10.699161313458792,19.905936042808776,-9.703896349851536,-0.2664328094313231,7.458888804541535,15.011927096464197,1,0.45
10,8.349432869533075,-20.633364417633704,-12.446943651104252,24.817146406305458,12.845593385085598,24.50134570804903,-1.7921168467387059,27.64075630252101,0.11674410000209774,13.938436008201627,5.508903561424571,5.5924369747899085,23.42052611676727,18.75345862103306,23.0454314372476,0.30181292325057996,10.834663430835096,19.970426404195987,-9.724867046063784,-0.2809865032778467,6.9368670513221105,14.04032546120621,1,0.5
11,8.231183066756259,-20.68366695580086,-12.455799247682382,24.754244541127807,12.844184724623616,24.51502951910853,-1.7235198452714462,27.611682282913158,0.09194913281982707,14.071451503717682,5.610730721621973,5.589136694677881,23.487987837314407,18.80456031279047,23.040981084010895,0.30210448746371615,10.957584926007648,20.025299803787203,-9.750605690652407,-0.2961869228583612,6.42115099658851,13.08046017011874,1,0.55
12,8.099584728166171,-20.738515257916863,-12.469275414014234,24.690764230647243,12.83584107776064,24.52738821706155,-1.6631726610644133,27.58369075630253,0.05710002290387578,14.191594868463987,5.70346679471789,5.577721008403357,23.550081056494868,18.85159540945046,23.03953403663946,0.302199290551423,11.068193232326784,20.07077210008155,-9.78108212533451,-0.31216555350616265,5.9117406403407085,12.132331223201756,1,0.6000000000000001
13,7.9549678144879605,-20.79769016318433,-12.487342474657742,24.626640834581274,12.820732511416189,24.538454297704156,-1.6109633133253478,27.556740966386553,0.012334275939018511,14.299137633387089,5.787223761504606,5.558354621848732,23.606918460654057,18.89464926998171,23.04092647844974,0.30210806493872866,11.166755783142833,20.10705915157823,-9.816266191827314,-0.3290538805544938,5.408635982578776,11.195938620455287,1,0.65
14,7.797662286446873,-20.86097251080595,-12.509970754170663,24.56180971264739,12.79902909250956,24.54826025683242,-1.5667798212618627,27.530792156862745,-0.04221060239006803,14.394351329433487,5.862113602774468,5.531202240896355,23.658612736137385,18.933807253352807,23.04499459275811,0.30184154305063204,11.25354001180606,20.13437681677637,-9.856127731847877,-0.3469833893365879,4.911837023302636,10.271282361879296,1,0.7000000000000001
15,7.627998104768067,-20.928143139984297,-12.537130577110938,24.49620622456309,12.770900887960273,24.55683859024242,-1.5305102040816463,27.505803571428572,-0.10639710639859416,14.477507487549705,5.928248299319758,5.496428571428578,23.705276569290284,18.969154718532437,23.051574562881036,0.3014104573121659,11.328813351666849,20.152940954175126,-9.900636587113357,-0.36608556518569263,4.4213437625123255,9.358362447473814,1,0.75
16,7.446305230176709,-20.998982889921997,-12.568792268036404,24.429765730045887,12.736517964687728,24.56422179373027,-1.5020424809924242,27.481734453781506,-0.18008773040188317,14.54887763868227,5.985739831932781,5.45419831932774,23.747022646458156,19.00077702448925,23.06050257213492,0.30082554014834384,11.392843236075457,20.16296742227366,-9.949762599340914,-0.38649189343506035,3.9371562002078764,8.457178877238842,1,0.8
17,7.252913623398044,-21.073272599821685,-12.604926151504966,24.362423588813286,12.696050389611361,24.570442363092024,-1.4812646712018247,27.45854404761905,-0.2631449687151604,14.608733313777694,6.034700181405887,5.404676190476187,23.78396365398646,19.028759530191888,23.071614803836336,0.3000975239842034,11.445897098382236,20.164672079571112,-10.00347561024765,-0.4083338594179824,3.4592743363892424,7.567731651174381,1,0.8500000000000001
18,7.048153245157194,-21.15079310888598,-12.645502552074436,24.29411516058279,12.649668229650526,24.575532794123763,-1.4680647939175886,27.43619159663865,-0.35543131565371155,14.657346043782498,6.075241328531424,5.348026890756297,23.81621227822056,19.05318759460895,23.08474744130158,0.29923714124477274,11.488242371937481,20.158270784566646,-10.061745461550727,-0.4317429484676725,2.987698171056416,6.690020769280406,1,0.9
19,6.832354056179468,-21.23132525631754,-12.690491794302691,24.224775805071886,12.597541551724753,24.57952558262159,-1.462330868347359,27.41463634453781,-0.45680926553277695,14.6949873596432,6.107475254101653,5.284415126050418,23.843881205505937,19.074146576709122,23.099736667847175,0.29825512435505064,11.520146490091513,20.143979395759434,-10.12454199496727,-0.4568506459173929,2.522427704209405,5.824046231556938,1,0.9500000000000001
20,6.6058460171899505,-21.31464988131897,-12.739864202747638,24.15434088199808,12.539840422753382,24.582453224381553,-1.4639509136988313,27.393837535013997,-0.5671413126676423,14.721928792306311,6.131513938908906,5.214005602240902,23.86708312218795,19.09172183546106,23.116418666789542,0.29716220574009417,11.54187688619465,20.122013771648614,-10.191835052214406,-0.48378843710036706,2.0634629358482393,4.969808038003979,1,1.0
21,6.3689590889139005,-21.4005478230929,-12.793590101967116,24.082745751078892,12.47673490965592,24.58434821519975,-1.4728129491796866,27.37375441176472,-0.6862899513735632,14.738441872718392,6.147469363745497,5.1369630252100835,23.885930714612094,19.105998729833363,23.134629621445075,0.29596911782490226,11.553700993597207,20.092589770733344,-10.26359447500929,-0.512687807349891,1.6108038659729038,4.12730618862151,1,1.05
22,6.1220232320764705,-21.488799920841938,-12.85163981651899,24.00992577203181,12.408395079351699,24.585243050872254,-1.488804993997598,27.35434621848741,-0.8141176759658477,14.744798131825902,6.155453509403788,5.053452100840328,23.900536669123646,19.11706261879469,23.1542057151303,0.2946865930345078,11.555886245649493,20.055923251512795,-10.339790105069063,-0.5436802419991832,1.164450494583369,3.296540683409538,1,1.1
23,5.865368407402842,-21.579187013768756,-12.913983670961123,23.935816304574328,12.334990998760247,24.585170227195174,-1.5118150673602837,27.335572198879564,-0.9504869807596913,14.741269100575403,6.155578356676019,4.963637535013999,23.911013672068194,19.12499886131371,23.174983131161603,0.29332536379393387,11.548700075701827,20.012230072486094,-10.42039178411083,-0.5768972263815157,0.7244028216796867,2.477511522368081,1,1.1500000000000001
24,5.599324575618297,-21.671489941075926,-12.98059198985138,23.86035270842396,12.256692734800875,24.584162239964584,-1.5417311884753868,27.317391596638654,-1.095260360070432,14.728126309913396,6.147955886354565,4.8676840336134335,23.917474409791083,19.129892816359042,23.196798052855463,0.29189616252822304,11.532409917104555,19.96172609215244,-10.505369353851759,-0.6124702458301218,0.29066084726181995,1.6702187054971345,1,1.2000000000000002
25,5.3242216974478875,-21.76548954196612,-13.051435097747635,23.783470343298198,12.173670354393122,24.58225158497652,-1.5784413765506256,27.299763655462186,-1.2483003082132953,14.705641290786408,6.132698079231703,4.765756302521005,23.920031568637672,19.131829842899347,23.219486663528265,0.2904097216623646,11.507283203207912,19.904627169010965,-10.594692656008961,-0.6505307856782585,-0.136775428670239,0.8746622327966739,1,1.25
26,5.04038973361695,-21.86096665564195,-13.126483319207761,23.705104568914535,12.086093924456339,24.579470758027128,-1.6218336507936582,27.282647619047605,-1.4094693195035446,14.67408557414095,6.109916916099785,4.658019047619046,23.918797834953423,19.13089529990326,23.242885146496526,0.2888767736214106,11.473587367362295,19.841149161560793,-10.688331532299586,-0.6912103312592026,-0.5579060061164601,0.09084210426671888,1,1.3
27,4.748158644850596,-21.957702121306028,-13.2057069787896,23.625190744990505,11.994133511909983,24.575852254912444,-1.6717960304121802,27.266002731092453,-1.5786298882564727,14.633730690923553,6.079724377751116,4.544636974789914,23.913885895083794,19.12717454633942,23.26682968507663,0.2873080508303698,11.431589842917967,19.77150792830112,-10.78625582444078,-0.7346403679061391,-0.9727308850768207,-0.6812416800927403,1,1.35
28,4.447858391874018,-22.05547677816098,-13.28907640105106,23.54366423124359,11.897959183673468,24.57142857142856,-1.72821653461385,27.249788235294115,-1.755644508787335,14.584848172080738,6.042232444977999,4.425774789915971,23.905408435374184,19.12075294117647,23.291156462585025,0.2857142857142847,11.381558063225302,19.695919327731104,-10.888435374149669,-0.7809523809523782,-1.3812500655514113,-1.4415891202816697,1,1.4000000000000001
