Frame,Home_13_x,Home_13_y,Home_692_x,Home_692_y,Home_1060_x,Home_1060_y,Home_2245_x,Home_2245_y,Home_2246_x,Home_2246_y,Home_2917_x,Home_2917_y,Home_7540_x,Home_7540_y,Home_7541_x,Home_7541_y,Home_8162_x,Home_8162_y,Home_8163_x,Home_8163_y,ball_x,ball_y,Period,Time [s]
0,-20.42397757921131,-27.22276471986141,-8.04831742739896,9.70394547181975,-25.066498652126718,28.54405385668853,-27.20540804914796,14.883909109896244,-30.034615269281684,5.74840456884431,-30.911947237276465,-30.177007792090848,-12.722385730479683,-3.01464055645149,-14.11323852875857,-20.444637987617757,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-20.42397757921131,-27.22276471986141,1,0.0
1,-20.561497235385477,-27.302545482215237,-8.143284111160877,9.69871376331202,-25.09848111221722,28.54200014570644,-27.29085859059766,14.823243013206614,-30.09215409892469,5.69119087841937,-30.901944808405727,-30.192024930258338,-12.77681618927889,-3.022318198465371,-14.140760347047497,-20.453021504692863,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-20.561497235385477,-27.302545482215237,1,0.05
2,-20.696298504180852,-27.37656746785926,-8.238372583884793,9.693460079231942,-25.13060291232145,28.539757242756995,-27.378243346983766,14.760924417073563,-30.15150266089315,5.632145255687921,-30.892991703714333,-30.20546666645224,-12.833029955947254,-3.030223818618457,-14.169270769475409,-20.461624648779157,-0.6489795918367227,-9.428571428571386,0.07210884353737598,5.285714285714288,-20.696298504180852,-27.37656746785926,1,0.1
3,-20.82778113371766,-27.444198189668707,-8.333304215866441,9.68819873153762,-25.162776900446165,28.53731849192393,-27.46743563943804,14.69702427273335,-30.21261013992323,5.571316024557884,-30.88518947070349,-30.217180542417083,-12.89098380984511,-3.0383497186210624,-14.198753849742674,-20.470437021359018,-0.6489795918367603,-9.428571428571386,0.07210884353737598,5.285714285714298,-20.82778113371766,-27.444198189668707,1,0.15000000000000002
4,-20.95534487211617,-27.504805160518675,-8.427800377401507,9.682944032187104,-25.194915924598032,28.534677237291003,-27.558308789092276,14.631613531422262,-30.275425720751127,5.5087515089372365,-30.87863965687444,-30.227014099897318,-12.950634530332707,-3.0466882001834894,-14.229193641549749,-20.479448223914854,-0.6489795918367603,-9.428571428571386,0.07210884353735339,5.285714285714288,-20.95534487211617,-27.504805160518675,1,0.2
5,-21.07838946749664,-27.55775589328436,-8.521582438785757,9.677710293138533,-25.226932832783785,28.531826822941944,-27.65073611707825,14.564763144376627,-30.339898588113037,5.444500032733874,-30.873443809728386,-30.234814880637458,-13.011938896770346,-3.055231565016083,-14.260574198597038,-20.488647857929084,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.07838946749664,-27.55775589328436,1,0.25
6,-21.1963146679793,-27.60241790084092,-8.614371770314854,9.672511826349984,-25.25874047301008,28.52876059296051,-27.74459094452774,14.49654406283269,-30.40597792674514,5.378609919855763,-30.869703476766563,-30.240430426382,-13.074853688518335,-3.063972114829206,-14.29287957458493,-20.49802552488412,-0.6489795918367378,-9.428571428571386,0.07210884353735339,5.285714285714298,-21.1963146679793,-27.60241790084092,1,0.30000000000000004
7,-21.30852022168442,-27.638158696063506,-8.705889742284546,9.66736294377954,-25.29025169328368,28.525471891430378,-27.83974659257252,14.427027238026788,-30.473612921383648,5.311129494210835,-30.867520205490212,-30.243708278875413,-13.13933568493696,-3.072902151333146,-14.326093823213908,-20.507570826262363,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.30852022168442,-27.638158696063506,1,0.35000000000000003
8,-21.414405876732253,-27.664345791827216,-8.795857724990578,9.662277957385335,-25.32137934161127,28.52195406243536,-27.936076382344385,14.356283621195177,-30.542752756764745,5.242107079707036,-30.866995543400567,-30.24449597986218,-13.205341665386523,-3.0820139762382333,-14.360200998184311,-20.517273363546206,-0.6489795918367378,-9.42857142857137,0.07210884353735339,5.285714285714288,-21.414405876732253,-27.664345791827216,1,0.4
9,-21.513371381243015,-27.68034670100729,-8.883997088728654,9.657271179125415,-25.352036265999534,28.518200450059155,-28.033453634975114,14.284384163574167,-30.61334661762462,5.1715910002522785,-30.8682310379988,-30.242641071086844,-13.272828409227293,-3.0912998912547924,-14.395185153196582,-20.52712273821805,-0.6489795918367603,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.513371381243015,-27.68034670100729,1,0.45
10,-21.60481648333697,-27.685528936478836,-8.97002920379445,9.652356920957912,-25.38213531445519,28.51420439838548,-28.131751671596465,14.211399816400032,-30.685343688699465,5.0996295797545725,-30.871328236786187,-30.23799109429386,-13.34175269581961,-3.10075219809314,-14.431030341951168,-20.53710855176031,-0.6489795918367378,-9.428571428571386,0.07210884353735339,5.285714285714288,-21.60481648333697,-27.685528936478836,1,0.5
11,-21.688140931134374,-27.679260011117034,-9.05367544048373,9.647549494840922,-25.41158933498493,28.509959251498103,-28.230843813340243,14.137401530909065,-30.75869315472546,5.026271142121789,-30.87638868726393,-30.230393591227752,-13.412071304523721,-3.11036319846363,-14.467720618148448,-20.547220405655413,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.688140931134374,-27.679260011117034,1,0.55
12,-21.762744472755486,-27.660907437797036,-9.134657169092222,9.642863212732516,-25.440311175595504,28.50545835348076,-28.330603381338207,14.06246025833757,-30.83334420043881,4.951564011261888,-30.88351393693327,-30.21969610363297,-13.483741014699937,-3.120125194076583,-14.505240035488852,-20.557447901385736,-0.6489795918367378,-9.428571428571386,0.07210884353735339,5.285714285714288,-21.762744472755486,-27.660907437797036,1,0.6000000000000001
13,-21.828026856320534,-27.629838729393988,-9.212695759915597,9.638312386590792,-25.468213684293545,28.500695048417164,-28.43090369672216,13.986646949921832,-30.9092460105757,4.875556511082811,-30.89280553329541,-30.20574617325403,-13.556718605708546,-3.1300304866423194,-14.543572647672809,-20.567780640433686,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.828026856320534,-27.629838729393988,1,0.65
14,-21.8833878299498,-27.585421398783012,-9.287512583249615,9.633911328373896,-25.495209709085827,28.495662680391106,-28.531618080623865,13.910032556898152,-30.98634776987232,4.798296965492528,-30.904365023851607,-30.1883913418354,-13.630960856909867,-3.1400713778711546,-14.582702508400697,-20.578208224281692,-0.6489795918367378,-9.428571428571386,0.07210884353737598,5.285714285714288,-21.8833878299498,-27.585421398783012,1,0.7000000000000001
15,-21.928227141763514,-27.527022958839318,-9.358829009389993,9.629674350039865,-25.52121209797899,28.49035459348623,-28.632619854175115,13.83268803050279,-31.064598663064885,4.719833698398938,-30.91829395610307,-30.167479151121622,-13.706424547664174,-3.15024016947342,-14.622613671372982,-20.588720254412145,-0.6489795918367603,-9.42857142857137,0.07210884353735339,5.285714285714288,-21.928227141763514,-27.527022958839318,1,0.75
16,-21.96194453988192,-27.454010922438087,-9.426366408632411,9.625615763546792,-25.54613369897978,28.484764131786356,-28.73378233850768,13.75468432197207,-31.14394787488954,4.640215033709995,-30.934693877551016,-30.142857142857146,-13.783066457331731,-3.1605291631594348,-14.663290190290052,-20.59930633230746,-0.6489795918367603,-9.428571428571386,0.07210884353735339,5.285714285714288,-21.96194453988192,-27.454010922438087,1,0.8
17,-21.984140765177308,-27.36594203062109,-9.489956730830077,9.621744485798681,-25.569920112957753,28.478890762739045,-28.834995075657798,13.67609361362547,-31.22433235827944,4.559502937991473,-30.953634226373822,-30.114426929867435,-13.860843365272888,-3.1709306606395584,-14.704716118852296,-20.609956059449992,-0.6489795918367378,-9.428571428571386,0.07210884353735339,5.285714285714288,-21.984140765177308,-27.36594203062109,1,0.8500000000000001
