Frame,Away_276_x,Away_276_y,Away_277_x,Away_277_y,Away_278_x,Away_278_y,Away_1793_x,Away_1793_y,Away_3570_x,Away_3570_y,Away_5841_x,Away_5841_y,Away_5842_x,Away_5842_y,Away_5843_x,Away_5843_y,Away_5845_x,Away_5845_y,Away_6325_x,Away_6325_y,Away_9475_x,Away_9475_y,ball_x,ball_y,Period,Time [s]
0,-17.1318240163709,9.564532124850176,-17.27704931293125,0.33458176812718504,-15.706001429715206,-14.108111812313032,-9.51507874877261,-24.830778259583575,-13.329414898110965,-9.499097851624315,-3.6549770615647255,11.84956563601075,3.306705539358588,-3.5204081632652957,8.920894071914464,-14.132653061224476,0.012076035806734779,-21.47585472121263,-10.243578207603317,-4.297454055640094,-44.05850340136055,-1.4285714285714333,-1.6201924212233858,-19.49194391481645,1,0.0
1,-17.355807561701887,9.400382356554948,-17.426788263574057,0.1732869305644735,-16.096154802130634,-14.083987756262154,-9.79807933250714,-24.736286285723,-13.770252978436034,-9.665223580305831,-3.6131002431752073,12.155993800250796,3.2139941690961904,-3.5076530612244765,8.86166180758017,-14.130102040816313,-0.2838854758115579,-21.31782837185329,-10.397609316006974,-4.600409521156205,-44.05850340136055,-1.4285714285714333,-2.09101905269081,-19.320269595284106,1,0.05
2,-17.574313855684697,9.244094963294245,-17.5757068970218,0.02102927228550044,-16.475085304443613,-14.057433801102336,-10.077327823141403,-24.63941323761793,-14.182768341694148,-9.825820913627645,-3.5849480255028747,12.430170722407212,3.121282798833823,-3.494897959183677,8.80242954324586,-14.127551020408148,-0.5768819820967265,-21.16313934692789,-10.548093360768107,-4.894907107538238,-44.05850340136055,-1.4285714285714333,-2.5458094675842915,-19.149676133845894,1,0.1
3,-17.78746544601549,9.095459565895316,-17.723835950054156,-0.12241972163098865,-16.843072332849253,-14.028515861029225,-10.35291245321763,-24.54021300435176,-14.56784259537892,-9.980844991263382,-3.570207605934641,12.672877716104928,3.028571428571433,-3.4821428571428537,8.743197278911566,-14.124999999999986,-0.8669273932750277,-21.011711457443052,-10.695105689241105,-5.180999484897928,-44.05850340136055,-1.4285714285714333,-2.98515864436256,-18.980183188040414,1,0.15000000000000002
4,-17.995384880390564,8.954265785185449,-17.871206159450946,-0.25728856610622414,-17.20039528354262,-13.99729985023849,-10.624921455277953,-24.438739475007942,-14.92635734698398,-10.130250952886632,-3.5685661818573973,12.884896094968962,2.93586005830902,-3.4693877551020202,8.683965014577254,-14.122448979591807,-1.154035619572718,-20.863468514405383,-10.838721648780371,-5.458739323346957,-44.05850340136055,-1.4285714285714333,-3.409661561484489,-18.811810415406217,1,0.2
5,-18.198194706506033,8.82030324199188,-18.01784826199185,-0.38380577606148963,-17.54733355271882,-13.963851682925794,-10.893443061864517,-24.33504653866985,-15.25919420400297,-10.273993938171039,-3.5797109506579594,13.067007172624312,2.8431486880466377,-3.4566326530612157,8.624732750242924,-14.119897959183648,-1.4382205712160092,-20.71833432882147,-10.979016586740263,-5.728179292997097,-44.05850340136055,-1.4285714285714333,-3.8199131974088303,-18.64457747348191,1,0.25
6,-18.396017472058166,8.693361557141884,-18.16379299445664,-0.5021998664180203,-17.88416653657293,-13.928237273286808,-11.158565505519526,-24.229188084420976,-15.567234773929515,-10.412029086790264,-3.6033291097232105,13.219992262695909,2.7504373177842627,-3.4438775510204116,8.565500485908657,-14.117346938775496,-1.71949615843109,-20.57623271169795,-11.116065850475161,-5.989372063960115,-44.05850340136055,-1.4285714285714333,-4.216508530594353,-18.478504019806024,1,0.30000000000000004
7,-18.588975724743136,8.573230351462689,-18.309071093625082,-0.6126993520970416,-18.211173631300042,-13.890522535517166,-11.420377018785135,-24.12121800134463,-15.851360664257252,-10.544311538417908,-3.6391078564400203,13.344632678808791,2.6577259475218655,-3.4311224489795737,8.506268221574324,-14.114795918367331,-1.9978762914443227,-20.437087474041395,-11.249944787339455,-6.242370306347695,-44.05850340136055,-1.4285714285714333,-4.600042539499883,-18.31360971191715,1,0.35000000000000003
8,-18.777192012257157,8.45969924578157,-18.45371329627692,-0.7155327480198275,-18.52863423309523,-13.850773383812548,-11.678965834203492,-24.011190178524302,-16.112453482479758,-10.67079643272762,-3.6867343881953167,13.441709734587926,2.5650145772594755,-3.418367346938774,8.447035957240029,-14.112244897959147,-2.273374880481911,-20.300822426858424,-11.380728744687524,-6.48722669027158,-44.05850340136055,-1.4285714285714333,-4.971110202584228,-18.149914207353845,1,0.4
9,-18.960788882296463,8.352557860925804,-18.597750339191897,-0.8109285691076229,-18.8368277381536,-13.80905573236858,-11.934420184316778,-23.89915850504338,-16.351394836090716,-10.791438909393015,-3.7458959023758553,13.512004743658286,2.4723032069970703,-3.4056122448979456,8.38780369290572,-14.109693877550987,-2.546005835770044,-20.167361381155686,-11.50849306987374,-6.7239938858435115,-44.05850340136055,-1.4285714285714333,-5.33030649830614,-17.987437163654725,1,0.45
