Frame,Home_12_x,Home_12_y,Home_1600_x,Home_1600_y,Home_2097_x,Home_2097_y,Home_2860_x,Home_2860_y,Home_2945_x,Home_2945_y,Home_5050_x,Home_5050_y,Home_5844_x,Home_5844_y,Home_5846_x,Home_5846_y,Home_6366_x,Home_6366_y,Home_6367_x,Home_6367_y,ball_x,ball_y,Period,Time [s]
0,-1.6201924212233858,-19.49194391481645,-11.640298746033096,30.61281864858963,-9.107587262958933,3.1121282784847275,-15.698833828971438,7.307984105127932,-13.689894686919377,-8.105167026296865,-9.172270744307152,-14.955402588317659,-0.9997095411092611,-27.951761828761217,13.62291364415104,11.630933951258479,5.24334305150631,-6.6632653061224465,15.53430515063168,-20.91836734693878,-1.6201924212233858,-19.49194391481645,1,0.0
1,-2.09101905269081,-19.320269595284106,-11.814127834580429,30.62184094870656,-9.202852632379882,2.953821999988408,-15.88467103206102,7.238757577709469,-14.091510421738759,-8.185633173432022,-9.084362308343412,-14.87508902661159,-1.0175655275624835,-27.870754734537847,13.549834966717464,11.542410989983162,5.202137998056379,-6.650510204081628,15.469922254616108,-20.897959183673446,-2.09101905269081,-19.320269595284106,1,0.05
2,-2.5458094675842915,-19.149676133845894,-11.981005968702338,30.63010956885806,-9.290634931248855,2.806321720676114,-16.070072977006735,7.166984395530504,-14.491740599561805,-8.273852410014038,-9.00280836739481,-14.795643123512512,-1.0363197199271768,-27.79072403481949,13.476931264461463,11.45536128668877,5.160932944606404,-6.637755102040824,15.405539358600583,-20.877551020408145,-2.5458094675842915,-19.149676133845894,1,0.1
3,-2.98515864436256,-18.980183188040414,-12.141177475133944,30.637629143655044,-9.371328470069667,2.669170849033069,-16.254933824515707,7.092822643984962,-14.890419621943884,-8.369539970048514,-8.927457583853197,-14.717045835795373,-1.0559647526246434,-27.711661722855656,13.404201102530019,11.369772760183729,5.119727891156458,-6.624999999999985,15.341156462585026,-20.857142857142854,-2.98515864436256,-18.980183188040414,1,0.15000000000000002
4,-3.409661561484489,-18.811810415406217,-12.294886680610315,30.64440430770854,-9.445327559346211,2.5419127935444563,-16.43914773529515,7.0164304084667855,-15.287381890440358,-8.472411087541001,-8.85815862011043,-14.639278120235016,-1.0764932600761186,-27.63355979189585,13.331643046070127,11.285633329276509,5.078522837706521,-6.612244897959176,15.276773566569469,-20.836734693877542,-3.409661561484489,-18.811810415406217,1,0.2
5,-3.8199131974088303,-18.64457747348191,-12.442377911866572,30.650439695629423,-9.513026509582282,2.4240909626953986,-16.622608870052193,6.937965774369889,-15.682461806606542,-8.582180996497168,-8.794760138558377,-14.562320933606376,-1.0978978767028815,-27.556410235189595,13.25925566022877,11.202930912775555,5.037317784256523,-6.599489795918357,15.212390670553914,-20.816326530612237,-3.8199131974088303,-18.64457747348191,1,0.25
6,-4.216508530594353,-18.478504019806024,-12.583895495637812,30.6557399420287,-9.57481963128178,2.315248764971131,-16.80521138949402,6.857586827088199,-16.075493771997802,-8.698564930922533,-8.73711080158892,-14.486155232684364,-1.1201712369261227,-27.480205045986438,13.187037510153015,11.12165342948928,4.996112730806622,-6.586734693877543,15.148007774538373,-20.795918367346932,-4.216508530594353,-18.478504019806024,1,0.30000000000000004
7,-4.600042539499883,-18.31360971191715,-12.719683758659162,30.660309681517276,-9.631101234948607,2.2149296088568304,-16.986849454327796,6.775451652015653,-16.466312188169432,-8.82127812482269,-8.685059271593854,-14.410761974243849,-1.143305975167174,-27.404936217535866,13.114987160989784,11.041788798226149,4.954907677356648,-6.573979591836724,15.083624878522848,-20.7755102040816,-4.600042539499883,-18.31360971191715,1,0.35000000000000003
8,-4.971110202584228,-18.149914207353845,-12.849987027665676,30.66415354870613,-9.682265631086572,2.12267690283765,-17.167417225260692,6.691718334546156,-16.854751456676833,-8.95003581220326,-8.638454210965119,-14.336122115059743,-1.1672947258472255,-27.330595743087397,13.04310317788612,10.963324937794631,4.913702623906694,-6.561224489795905,15.019241982507275,-20.75510204081631,-4.971110202584228,-18.149914207353845,1,0.4
9,-5.33030649830614,-17.987437163654725,-12.975049629392487,30.667276178206183,-9.728707130199561,2.038034055398795,-17.346808862999865,6.606544960073627,-17.24064597907531,-9.084553227069803,-8.597144282094511,-14.26221661190693,-1.1921301233875874,-27.25717561589056,12.97138412598897,10.886249767003147,4.8724975704567415,-6.5484693877550875,14.954859086491703,-20.734693877551,-5.33030649830614,-17.987437163654725,1,0.45
10,-5.678226405124446,-17.826198238358316,-13.095115890574693,30.6696822046284,-9.770820042791446,1.9605444750254284,-17.52491852825248,6.520089613992016,-17.623830156920192,-9.2245456034279,-8.560978147373934,-14.1890264215603,-1.2178048022094563,-27.184667829194872,12.899828570445408,10.810551204660143,4.831292517006782,-6.535714285714273,14.890476190476164,-20.714285714285687,-5.678226405124446,-17.826198238358316,1,0.5
11,-6.015464901497909,-17.666217089003222,-13.210430137947405,30.671376262583717,-9.808998679366091,1.8897515702027556,-17.701640381725745,6.432510381695241,-18.004138391766862,-9.369728175283164,-8.529804469195241,-14.11653250079478,-1.2443113967340977,-27.11306437624988,12.828435076402382,10.736217169574058,4.790087463556844,-6.5229591836734535,14.82609329446063,-20.693877551020403,-6.015464901497909,-17.666217089003222,1,0.55
12,-6.342616965885377,-17.507513373127992,-13.321236698245684,30.67236298668311,-9.843637350427358,1.8251987494159438,-17.87686858412677,6.343965348577227,-18.381405085170638,-9.519816176641186,-8.503471909950289,-14.044715806385257,-1.2716425413827985,-27.04235725030506,12.757202209006866,10.663235580553353,4.748882410106876,-6.51020408163265,14.761710398445059,-20.673469387755095,-6.342616965885377,-17.507513373127992,1,0.6000000000000001
13,-6.660277576745595,-17.350106748271187,-13.427779898204673,30.672647011537496,-9.875130366479098,1.7664294211501752,-18.05049729616275,6.254612600031885,-18.75546463868684,-9.674524841507504,-8.481829132030903,-13.973557295106605,-1.2997908705767713,-26.97253844460995,12.686128533405917,10.591594356406459,4.707677356656923,-6.4974489795918355,14.69732750242952,-20.653061224489804,-6.660277576745595,-17.350106748271187,1,0.65
14,-6.9690417125373765,-17.194016871971428,-13.530304064559484,30.672232971757854,-9.903872038025163,1.712986993890631,-18.22242067854086,6.164610221453157,-19.126151453870865,-9.833569403887758,-8.464724797829021,-13.903037923733727,-1.3287490187373416,-26.90359995241405,12.615212614746465,10.521281415941834,4.666472303206962,-6.484693877550983,14.632944606413956,-20.632653061224474,-6.9690417125373765,-17.194016871971428,1,0.7000000000000001
15,-7.269504351719452,-17.039263401767258,-13.629053524045139,30.67112550195513,-9.93025667556944,1.6644148761224786,-18.392532891968216,6.07411629823495,-19.493299932277992,-9.996665097787526,-8.452007569736416,-13.833138649041581,-1.3585096202856377,-26.83553376696693,12.544453018175588,10.45228467796793,4.625267249757032,-6.471938775510188,14.568561710398413,-20.612244897959165,-7.269504351719452,-17.039263401767258,1,0.75
16,-7.562260472750741,-16.88586599519722,-13.724272603396836,30.66932923674024,-9.9546785896158,1.6202564763309193,-18.56072809715209,5.9832889157712,-19.856744475463607,-10.163527157212359,-8.443526110145022,-13.763840427804974,-1.389065309643031,-26.76833188151807,12.473848308840246,10.384592061293157,4.584062196307094,-6.459183673469374,14.504178814382918,-20.59183673469386,-7.562260472750741,-16.88586599519722,1,0.8
17,-7.847905054089942,-16.733844309799952,-13.816205629349636,30.66684881072416,-9.977532090668086,1.5800552030011246,-18.726900454799555,5.892286159455863,-20.216319484983007,-10.333870816167888,-8.439129081446648,-13.695124216798835,-1.420408721230733,-26.701986289316967,12.403397051887392,10.318191484726002,4.542857142857127,-6.446428571428566,14.439795918367325,-20.571428571428545,-7.847905054089942,-16.733844309799952,1,0.8500000000000001
