Frame,Home_12_x,Home_12_y,Home_1168_x,Home_1168_y,Home_2477_x,Home_2477_y,Home_7597_x,Home_7597_y,Home_8897_x,Home_8897_y,Home_19139_x,Home_19139_y,Home_20703_x,Home_20703_y,Home_20704_x,Home_20704_y,ball_x,ball_y,Period,Time [s]
0,-35.08650842304128,29.516158835272563,-23.968754604735366,-9.447581937823239,-17.8108843537415,20.999999999999986,-27.49998338691686,-14.724026013412356,-28.61596232823763,0.03307170888912736,-30.14764362587881,18.40845477145373,-10.600000000000001,-15.999999999999996,-5.55238095238094,6.857142857142862,-35.08650842304128,29.516158835272563,1,0.0
1,-35.109860063449695,29.3552075051427,-24.298713936431646,-9.367656062897687,-17.805090723405886,21.000933025977197,-27.81424772916463,-14.547801163926879,-28.871219221291735,0.052885516662859684,-30.766797787029414,18.385174822088075,-10.853278103873858,-15.84852003755498,-5.805659056254813,6.847675359490049,-35.109860063449695,29.3552075051427,1,0.05
2,-35.128241764700554,29.210069745679363,-24.617749765961705,-9.290379950064487,-17.800966040080503,21.00159727903917,-28.118680248963454,-14.378923394891958,-29.121039527622887,0.07310568710889384,-31.35121043115413,18.35257096184469,-11.10141711198489,-15.700113653209481,-6.053798064365823,6.83839996046845,-35.128241764700554,29.210069745679363,1,0.1
3,-35.14180126584999,29.07958887941824,-24.92607225002232,-9.21570680959504,-17.79836725116451,21.002015796864345,-28.413485713669346,-14.21723464461811,-29.36543539744745,0.09370321040474863,-31.901869579229597,18.3112632068028,-11.344466597604118,-15.554751198300139,-6.296847549985051,6.829314807036617,-35.14180126584999,29.07958887941824,1,0.15000000000000002
4,-35.15068630595421,28.96260822889505,-25.223891545310362,-9.143589851760778,-17.79715130405705,21.002211617131177,-28.698868890638334,-14.062576851415828,-29.604418980981837,0.11464907672801046,-32.41976325223247,18.261871573041688,-11.582476134002569,-15.412403024163668,-6.534857086383478,6.820418046153075,-35.15068630595421,28.96260822889505,1,0.2
5,-35.15504462406932,28.857971116645487,-25.51141780852266,-9.073982286833093,-17.79717514615719,21.002207777518088,-28.97503454722642,-13.914791953595667,-29.83800242844237,0.13591427625621263,-32.9058794711394,18.2050160766406,-11.815495294451235,-15.273039482136683,-6.767876246832176,6.8117078247764,-35.15504462406932,28.857971116645487,1,0.25
6,-35.1550239592515,28.764520865205284,-25.788861196356034,-9.006837325083474,-17.798295724864076,21.00202731570355,-29.242187450789643,-13.773721889468083,-30.066197890045405,0.15746979916689327,-33.361206256927055,18.14131673367876,-12.043573652221191,-15.136630923555876,-6.995954604602109,6.803182289865087,-35.1550239592515,28.764520865205284,1,0.30000000000000004
7,-35.150772050556895,28.681100797110116,-26.05643186550731,-8.942108176783286,-17.80036998757684,21.001693269366044,-29.500532368684,-13.639208597343625,-30.289017516007373,0.17928663563762426,-33.78673163057203,18.071393560235464,-12.266760780583436,-15.003147699757886,-7.219141732964353,6.794839588377722,-35.150772050556895,28.681100797110116,1,0.35000000000000003
8,-35.142436637041655,28.606554234895686,-26.31433997267336,-8.87974805220401,-17.803254881694592,21.001228676183985,-29.750274068265526,-13.51109401553282,-30.506473456544583,0.2013357758459534,-34.18344361305103,17.995866572389946,-12.485106252808997,-14.872560162079358,-7.437487205189907,6.786677867272824,-35.142436637041655,28.606554234895686,1,0.4
9,-35.130165457761954,28.539724501097716,-26.562795674550987,-8.81971016161701,-17.806807354616435,21.000656573835816,-29.99161731689022,-13.389220082346128,-30.71857786187345,0.22358820996944304,-34.552330225340675,17.915355786221472,-12.698659642168892,-14.744838661856999,-7.651040594549809,6.778695273508912,-35.130165457761954,28.539724501097716,1,0.45
10,-35.114106251773926,28.479454918251903,-26.802009127837,-8.761947715293738,-17.8108843537415,20.999999999999986,-30.224766881914103,-13.273428736094125,-30.925342882210295,0.24601492818561665,-34.89437948841763,17.83048121780928,-12.90747052193415,-14.619953550427438,-7.859851474315051,6.770889954044573,-35.114106251773926,28.479454918251903,1,0.5
11,-35.09440675813374,28.42458880889395,-27.03219048922827,-8.706413923505652,-17.815342826468903,20.999281992354994,-30.449927530693195,-13.163561915087316,-31.126780667771513,0.2685869206720415,-35.21057942325851,17.74186288323262,-13.111588465375792,-14.497875179127353,-8.063969417756702,6.76326005583831,-35.09440675813374,28.42458880889395,1,0.55
12,-35.07121471589754,28.37396949555955,-27.253549915421623,-8.653061996524166,-17.820039720197794,20.99852558857923,-30.66730403058352,-13.059461557636142,-31.32290336877348,0.29127517760627486,-35.50191805084,17.650120798570782,-13.31106304576483,-14.378573899293373,-8.263443998145771,6.75580372584869,-35.07121471589754,28.37396949555955,1,0.6000000000000001
13,-35.04467786412149,28.326440300784395,-27.46629756311388,-8.601845144620652,-17.82483198232727,20.997753826351158,-30.877101148941094,-12.960969602051195,-31.513723135432553,0.3140506891658597,-35.769383392138714,17.555874979902956,-13.505943836372342,-14.262020062262193,-8.458324788753252,6.748519111034238,-35.04467786412149,28.326440300784395,1,0.65
14,-35.01494394186174,28.280844547104234,-27.670643589001877,-8.552716578066603,-17.829576560256438,20.996989743349243,-31.07952365312191,-12.867927986642952,-31.699252117965095,0.3368844455283488,-36.01396346813133,17.459745443308446,-13.696280410469296,-14.148184019370463,-8.64866136285022,6.741404358353517,-35.01494394186174,28.280844547104234,1,0.7000000000000001
15,-34.98216068817445,28.236025557054727,-27.866798149782465,-8.505629507133392,-17.834130401384435,20.99625637725194,-31.27477631048205,-12.780178649721949,-31.87950246658749,0.3597474368712898,-36.2366462997945,17.362352204866486,-13.88212234132671,-14.03703612195482,-8.834503293707641,6.7344576147650335,-34.98216068817445,28.236025557054727,1,0.75
16,-34.94647584211577,28.190826653171595,-28.05497140215245,-8.460537142092477,-17.838350453110376,20.995576765737667,-31.46306388837746,-12.69756352959866,-32.0544863315161,0.38261065337224015,-36.43841990810483,17.26431528065636,-14.063519202215662,-13.928546721351982,-9.01590015459658,6.7276770272273465,-34.94647584211577,28.190826653171595,1,0.8
17,-34.90803714274184,28.14409115799053,-28.23537350280868,-8.417392693215264,-17.8420936628334,20.994973946484905,-31.644591154164175,-12.619924564583632,-32.22421586296727,0.40544508520876205,-36.62027231403902,17.166254686757284,-14.240520566407133,-13.822686168898553,-9.192901518788066,6.721060742699018,-34.90803714274184,28.14409115799053,1,0.8500000000000001
